cliente_id,ingreso_mensual,score_riesgo,monto_solicitado,plazo_meses,tasa_ofrecida,tasa_mercado_referencia,costo_fondeo,acepto,default
53,930.0,0.5666,6600.0,12,0.1885,0.18635,0.0425,0,
54,1657.9,0.261,8400.0,18,0.1472,0.18635,0.0425,1,0.0
55,1524.98,0.7412,6500.0,48,0.2285,0.18635,0.0425,1,0.0
56,1388.95,0.8598,11700.0,36,0.2272,0.18635,0.0425,1,1.0
57,1699.34,0.2808,12300.0,24,0.1576,0.18635,0.0425,1,0.0
58,4534.78,0.4571,12100.0,48,0.1627,0.18635,0.0425,1,0.0
59,1224.7,0.9352,7800.0,24,0.2412,0.18635,0.0425,0,
60,3386.29,0.2843,17300.0,24,0.1271,0.18635,0.0425,0,
61,930.0,0.8265,5400.0,60,0.238,0.18635,0.0425,0,
62,1643.97,0.8189,15000.0,36,0.2192,0.18635,0.0425,1,0.0
63,2166.39,0.4107,6100.0,36,0.1737,0.18635,0.0425,1,0.0
64,2739.79,0.2878,7200.0,36,0.1228,0.18635,0.0425,1,0.0
65,2936.44,0.4238,15900.0,24,0.1407,0.18635,0.0425,1,0.0
66,3073.24,0.0513,9200.0,60,0.12,0.18635,0.0425,1,0.0
67,1631.4,0.5089,2400.0,12,0.1822,0.18635,0.0425,0,
68,1531.78,0.3708,3100.0,24,0.1624,0.18635,0.0425,1,0.0
69,3185.38,0.6213,45100.0,24,0.2121,0.18635,0.0425,0,
70,1780.21,0.8512,8600.0,60,0.2295,0.18635,0.0425,0,
71,975.73,0.7504,6300.0,36,0.2203,0.18635,0.0425,0,
72,1055.9,0.3864,4200.0,24,0.12,0.18635,0.0425,1,0.0
73,1188.82,0.8956,10200.0,24,0.2543,0.18635,0.0425,1,0.0
74,2607.77,0.3367,2100.0,12,0.1447,0.18635,0.0425,0,
75,2142.11,0.754,23600.0,12,0.2192,0.18635,0.0425,0,
76,2902.86,0.4889,13900.0,18,0.1511,0.18635,0.0425,1,0.0
77,1561.89,0.5902,4700.0,24,0.2117,0.18635,0.0425,0,
78,2161.33,0.5886,21800.0,24,0.166,0.18635,0.0425,1,0.0
79,2800.25,0.65,17500.0,60,0.2326,0.18635,0.0425,1,0.0
80,1667.42,0.8515,7200.0,24,0.2124,0.18635,0.0425,0,
81,2550.02,0.8021,4100.0,48,0.2276,0.18635,0.0425,0,
82,1371.31,0.5888,6100.0,48,0.1447,0.18635,0.0425,1,0.0
83,1618.49,0.4712,8300.0,18,0.1516,0.18635,0.0425,1,0.0
84,1601.81,0.4779,8900.0,18,0.1729,0.18635,0.0425,1,0.0
85,1019.9,0.915,2800.0,36,0.2618,0.18635,0.0425,1,0.0
86,2593.08,0.1782,7200.0,60,0.12,0.18635,0.0425,1,0.0
87,1525.81,0.4753,3000.0,36,0.1575,0.18635,0.0425,0,
88,1993.2,0.5078,5900.0,24,0.2213,0.18635,0.0425,0,
89,2584.14,0.4114,17800.0,12,0.1531,0.18635,0.0425,1,0.0
90,2535.57,0.5435,31600.0,48,0.2379,0.18635,0.0425,0,
91,2862.73,0.2838,11200.0,24,0.1599,0.18635,0.0425,0,
92,1874.24,0.1903,10600.0,18,0.12,0.18635,0.0425,1,0.0
93,1565.32,0.3579,3000.0,18,0.1344,0.18635,0.0425,0,
94,1893.84,0.5995,3700.0,36,0.2248,0.18635,0.0425,1,0.0
95,930.0,0.7548,7700.0,24,0.1956,0.18635,0.0425,0,
96,930.0,0.9407,2000.0,48,0.2887,0.18635,0.0425,0,
97,950.62,0.7081,6000.0,12,0.2119,0.18635,0.0425,1,0.0
98,1138.63,0.8872,7300.0,36,0.2003,0.18635,0.0425,0,
99,2470.68,0.2479,20900.0,48,0.12,0.18635,0.0425,1,0.0
100,1198.07,0.1364,7000.0,48,0.12,0.18635,0.0425,1,0.0
101,1604.99,0.7446,2500.0,18,0.2111,0.18635,0.0425,1,0.0
102,4068.41,0.0121,39000.0,36,0.12,0.18635,0.0425,0,
103,1624.6,0.4959,5300.0,60,0.142,0.18635,0.0425,1,0.0
104,2979.56,0.4828,27300.0,48,0.1683,0.18635,0.0425,1,0.0
105,1179.52,0.8757,9500.0,48,0.2782,0.18635,0.0425,0,
106,1766.31,0.1121,10100.0,60,0.125,0.18635,0.0425,1,0.0
107,1168.84,0.6644,9400.0,18,0.2295,0.18635,0.0425,1,0.0
108,1640.19,0.735,17000.0,18,0.2159,0.18635,0.0425,0,
109,3154.32,0.3237,19800.0,48,0.1616,0.18635,0.0425,1,0.0
110,930.0,0.7742,7000.0,48,0.1958,0.18635,0.0425,0,
111,2518.61,0.389,6300.0,18,0.1626,0.18635,0.0425,1,0.0
112,2258.36,0.3604,16200.0,48,0.1764,0.18635,0.0425,1,0.0
113,1423.83,0.2654,3500.0,24,0.1404,0.18635,0.0425,1,0.0
114,930.0,0.9422,5000.0,60,0.2285,0.18635,0.0425,0,
115,2060.21,0.337,6200.0,12,0.122,0.18635,0.0425,1,0.0
116,1475.8,0.6796,5200.0,36,0.1954,0.18635,0.0425,1,0.0
117,2252.04,0.5688,25100.0,60,0.1647,0.18635,0.0425,1,0.0
118,2003.57,0.2602,9400.0,36,0.12,0.18635,0.0425,1,0.0
119,4811.55,0.4065,25700.0,18,0.1518,0.18635,0.0425,1,0.0
120,1733.4,0.9372,12800.0,12,0.2553,0.18635,0.0425,0,
121,1122.18,0.7385,5700.0,36,0.2021,0.18635,0.0425,0,
122,2186.33,0.4948,15600.0,36,0.1936,0.18635,0.0425,1,0.0
123,2236.26,0.7588,16800.0,48,0.2206,0.18635,0.0425,0,
124,4205.95,0.5392,14000.0,36,0.1518,0.18635,0.0425,0,
125,3145.25,0.0539,6800.0,24,0.12,0.18635,0.0425,0,
126,2412.59,0.3033,12200.0,18,0.1219,0.18635,0.0425,1,0.0
127,4455.92,0.155,15700.0,36,0.12,0.18635,0.0425,1,0.0
128,1023.91,0.3236,8100.0,36,0.1295,0.18635,0.0425,0,
129,1388.27,0.447,5000.0,24,0.1876,0.18635,0.0425,1,0.0
130,1184.14,0.3495,12200.0,60,0.1373,0.18635,0.0425,0,
131,1594.66,0.8447,16800.0,36,0.2377,0.18635,0.0425,1,0.0
132,930.0,0.9469,9100.0,48,0.2728,0.18635,0.0425,0,
133,2815.14,0.2117,19000.0,36,0.12,0.18635,0.0425,1,0.0
134,1749.95,0.4753,5400.0,18,0.1457,0.18635,0.0425,1,0.0
135,930.0,0.6019,3600.0,60,0.2069,0.18635,0.0425,1,0.0
136,1127.11,0.9471,7500.0,36,0.2615,0.18635,0.0425,0,
137,2355.28,0.2648,10300.0,36,0.12,0.18635,0.0425,0,
138,3150.51,0.1271,13300.0,36,0.12,0.18635,0.0425,1,0.0
139,5989.61,0.0376,60300.0,48,0.12,0.18635,0.0425,0,
140,9960.1,0.0481,18400.0,60,0.12,0.18635,0.0425,1,0.0
141,2490.81,0.2778,17300.0,24,0.12,0.18635,0.0425,1,0.0
142,1143.51,0.8806,7400.0,48,0.2353,0.18635,0.0425,1,1.0
143,930.0,0.8761,4900.0,18,0.2986,0.18635,0.0425,0,
144,2296.21,0.6856,5500.0,24,0.2571,0.18635,0.0425,1,0.0
145,1261.15,0.8548,5000.0,48,0.2737,0.18635,0.0425,0,
146,1572.22,0.6868,8200.0,36,0.1947,0.18635,0.0425,0,
147,1409.73,0.7803,3100.0,12,0.2119,0.18635,0.0425,0,
148,1830.78,0.7268,16400.0,24,0.1919,0.18635,0.0425,1,0.0
149,3574.81,0.5232,17400.0,36,0.1524,0.18635,0.0425,1,0.0
150,2159.55,0.1097,10000.0,24,0.12,0.18635,0.0425,1,0.0
151,1812.75,0.6773,13000.0,18,0.2427,0.18635,0.0425,0,
152,1114.64,0.7206,12600.0,48,0.2116,0.18635,0.0425,1,0.0
153,930.0,0.9684,3600.0,18,0.2552,0.18635,0.0425,0,
154,1511.57,0.3252,3100.0,18,0.12,0.18635,0.0425,1,0.0
155,1921.28,0.4874,23200.0,36,0.1656,0.18635,0.0425,0,
156,5275.92,0.169,29400.0,36,0.12,0.18635,0.0425,1,0.0
157,2127.72,0.5828,31400.0,12,0.1609,0.18635,0.0425,0,
158,3413.55,0.1216,35600.0,36,0.12,0.18635,0.0425,1,0.0
159,1500.72,0.9733,4300.0,12,0.2511,0.18635,0.0425,0,
160,1026.08,0.907,4400.0,60,0.2434,0.18635,0.0425,0,
161,1159.1,0.788,2000.0,36,0.2304,0.18635,0.0425,0,
162,1324.01,0.739,4100.0,36,0.1789,0.18635,0.0425,1,0.0
163,6443.53,0.01,11600.0,36,0.12,0.18635,0.0425,0,
164,1255.26,0.796,4100.0,18,0.2343,0.18635,0.0425,1,0.0
165,3151.14,0.127,4200.0,18,0.12,0.18635,0.0425,1,0.0
166,1199.77,0.3337,3200.0,24,0.1402,0.18635,0.0425,0,
167,3318.06,0.1521,10500.0,36,0.12,0.18635,0.0425,1,0.0
168,2450.45,0.5676,11400.0,60,0.1916,0.18635,0.0425,0,
169,1814.76,0.8209,2900.0,24,0.2047,0.18635,0.0425,1,0.0
170,1935.2,0.3443,17800.0,60,0.1248,0.18635,0.0425,0,
171,1376.75,0.3062,4200.0,12,0.1658,0.18635,0.0425,1,0.0
172,2534.93,0.265,14600.0,24,0.1329,0.18635,0.0425,1,0.0
173,1538.05,0.3447,4600.0,24,0.16,0.18635,0.0425,1,0.0
174,1003.2,0.2516,4800.0,24,0.123,0.18635,0.0425,1,0.0
175,974.51,0.674,4400.0,48,0.1819,0.18635,0.0425,0,
176,2178.23,0.7211,20500.0,24,0.2019,0.18635,0.0425,1,0.0
177,4751.4,0.1342,19400.0,48,0.12,0.18635,0.0425,0,
178,2163.07,0.1815,9100.0,48,0.12,0.18635,0.0425,0,
179,1853.41,0.6088,4200.0,36,0.2204,0.18635,0.0425,0,
180,2319.4,0.143,3100.0,24,0.12,0.18635,0.0425,1,0.0
181,4083.72,0.1941,22700.0,12,0.12,0.18635,0.0425,0,
182,2235.5,0.3681,12600.0,36,0.1325,0.18635,0.0425,1,0.0
183,1576.09,0.7088,8200.0,60,0.2224,0.18635,0.0425,0,
184,3655.61,0.1956,29500.0,18,0.12,0.18635,0.0425,1,0.0
185,2510.7,0.3394,11600.0,60,0.1621,0.18635,0.0425,1,0.0
186,4638.58,0.4617,16600.0,60,0.1939,0.18635,0.0425,1,0.0
187,2191.13,0.5691,11300.0,36,0.1694,0.18635,0.0425,1,0.0
188,1003.84,0.939,4200.0,36,0.2708,0.18635,0.0425,1,0.0
189,930.0,0.888,2000.0,48,0.269,0.18635,0.0425,1,0.0
190,4944.49,0.2492,42300.0,60,0.12,0.18635,0.0425,1,0.0
191,5148.0,0.0476,15500.0,36,0.12,0.18635,0.0425,1,0.0
192,1791.88,0.3191,7700.0,12,0.1308,0.18635,0.0425,1,0.0
193,1600.52,0.4864,5100.0,48,0.1772,0.18635,0.0425,1,0.0
194,4451.33,0.3997,41700.0,24,0.1816,0.18635,0.0425,1,0.0
195,1071.37,0.8115,3500.0,36,0.2294,0.18635,0.0425,0,
196,1205.23,0.9211,12300.0,36,0.2261,0.18635,0.0425,0,
197,2827.93,0.3636,8000.0,24,0.12,0.18635,0.0425,1,0.0
198,1590.42,0.4681,11000.0,18,0.1505,0.18635,0.0425,1,0.0
199,1973.82,0.2823,8300.0,36,0.123,0.18635,0.0425,1,0.0
200,1807.93,0.4436,2700.0,24,0.1848,0.18635,0.0425,1,0.0
201,2386.92,0.1674,23900.0,60,0.12,0.18635,0.0425,1,0.0
202,4320.1,0.1335,11600.0,12,0.12,0.18635,0.0425,1,0.0
203,2081.4,0.5448,7600.0,48,0.2107,0.18635,0.0425,0,
204,2828.89,0.1706,15500.0,24,0.12,0.18635,0.0425,1,0.0
205,930.0,0.6806,2000.0,18,0.1834,0.18635,0.0425,1,0.0
206,1926.68,0.6536,5700.0,24,0.2062,0.18635,0.0425,0,
207,1240.15,0.6617,5000.0,12,0.2032,0.18635,0.0425,1,0.0
208,1006.99,0.8567,2000.0,36,0.2681,0.18635,0.0425,1,0.0
209,1216.36,0.9569,6300.0,60,0.2777,0.18635,0.0425,0,
210,1644.66,0.502,3100.0,48,0.1776,0.18635,0.0425,0,
211,3289.36,0.5659,22500.0,24,0.1959,0.18635,0.0425,1,0.0
212,948.67,0.7846,8200.0,24,0.2293,0.18635,0.0425,1,1.0
213,2013.35,0.8252,14300.0,24,0.2212,0.18635,0.0425,0,
214,1513.36,0.7933,11600.0,18,0.2446,0.18635,0.0425,1,1.0
215,1650.56,0.7056,6400.0,18,0.1991,0.18635,0.0425,0,
216,3451.66,0.0884,6100.0,36,0.12,0.18635,0.0425,0,
217,2667.67,0.4877,22400.0,36,0.1829,0.18635,0.0425,1,0.0
218,4155.43,0.3887,12500.0,24,0.1241,0.18635,0.0425,1,0.0
219,1816.91,0.4679,8100.0,24,0.1605,0.18635,0.0425,0,
220,1345.68,0.7489,3300.0,36,0.2523,0.18635,0.0425,0,
221,1748.36,0.3839,3900.0,12,0.1748,0.18635,0.0425,0,
222,2264.33,0.6853,12200.0,18,0.217,0.18635,0.0425,0,
223,2183.05,0.4094,10400.0,24,0.1496,0.18635,0.0425,1,0.0
224,1084.92,0.2433,2000.0,48,0.12,0.18635,0.0425,1,0.0
225,2081.29,0.5462,6500.0,48,0.1671,0.18635,0.0425,0,
226,2246.49,0.4005,27500.0,12,0.15,0.18635,0.0425,1,0.0
227,7994.74,0.2207,51000.0,36,0.1413,0.18635,0.0425,1,0.0
228,5604.37,0.2121,16200.0,48,0.12,0.18635,0.0425,0,
229,1233.28,0.6461,4400.0,36,0.175,0.18635,0.0425,1,0.0
230,1687.85,0.6732,8000.0,24,0.2255,0.18635,0.0425,1,0.0
231,930.0,0.7405,3300.0,48,0.212,0.18635,0.0425,0,
232,1426.55,0.5809,13800.0,36,0.1677,0.18635,0.0425,1,0.0
233,2358.01,0.7307,14500.0,36,0.218,0.18635,0.0425,1,0.0
234,3863.11,0.0841,27500.0,18,0.12,0.18635,0.0425,1,0.0
235,1321.18,0.8964,10000.0,18,0.2515,0.18635,0.0425,0,
236,1377.24,0.8308,8400.0,18,0.2471,0.18635,0.0425,1,0.0
237,930.0,0.8075,6200.0,36,0.2397,0.18635,0.0425,1,0.0
238,1808.71,0.2105,17000.0,36,0.1222,0.18635,0.0425,1,0.0
239,1098.22,0.9099,7500.0,36,0.2556,0.18635,0.0425,0,
240,1475.85,0.6298,3100.0,18,0.1612,0.18635,0.0425,0,
241,1217.23,0.7178,13800.0,36,0.2161,0.18635,0.0425,0,
242,1878.63,0.3792,2200.0,36,0.1209,0.18635,0.0425,1,0.0
243,930.0,0.6175,5600.0,48,0.1799,0.18635,0.0425,0,
244,930.0,0.8877,4700.0,24,0.2342,0.18635,0.0425,0,
245,6446.31,0.03,22000.0,24,0.12,0.18635,0.0425,0,
246,969.4,0.5608,7300.0,60,0.1472,0.18635,0.0425,0,
247,1077.49,0.393,4500.0,12,0.1454,0.18635,0.0425,0,
248,5481.64,0.0679,34000.0,24,0.12,0.18635,0.0425,1,0.0
249,9911.64,0.0283,19100.0,60,0.12,0.18635,0.0425,1,0.0
250,1033.72,0.8713,8600.0,36,0.247,0.18635,0.0425,0,
251,1613.84,0.8752,12800.0,36,0.2567,0.18635,0.0425,1,0.0
252,2392.19,0.4818,11100.0,24,0.1694,0.18635,0.0425,1,0.0
253,5162.38,0.1089,13000.0,36,0.1267,0.18635,0.0425,0,
254,1145.21,0.7907,10000.0,60,0.2202,0.18635,0.0425,1,0.0
255,1727.72,0.4367,2200.0,24,0.2047,0.18635,0.0425,1,0.0
256,3046.08,0.643,14600.0,48,0.1883,0.18635,0.0425,1,0.0
257,2519.09,0.4308,9700.0,12,0.1726,0.18635,0.0425,1,0.0
258,1606.77,0.1829,9500.0,48,0.1379,0.18635,0.0425,1,0.0
259,1837.87,0.3134,7000.0,60,0.1298,0.18635,0.0425,0,
260,930.0,0.7402,7200.0,48,0.2175,0.18635,0.0425,0,
261,1734.54,0.486,3600.0,12,0.1412,0.18635,0.0425,0,
262,1707.61,0.6755,14900.0,36,0.2739,0.18635,0.0425,0,
263,2251.4,0.8224,9600.0,12,0.2313,0.18635,0.0425,1,0.0
264,1454.81,0.5628,4800.0,12,0.2122,0.18635,0.0425,0,
265,2570.98,0.8748,14900.0,12,0.2321,0.18635,0.0425,1,0.0
266,3470.77,0.3061,25800.0,18,0.12,0.18635,0.0425,1,0.0
267,2157.61,0.4683,8700.0,36,0.1524,0.18635,0.0425,1,0.0
268,2405.76,0.5211,10300.0,36,0.1794,0.18635,0.0425,1,0.0
269,2038.65,0.1015,5600.0,18,0.12,0.18635,0.0425,1,0.0
270,1979.53,0.1454,2400.0,12,0.12,0.18635,0.0425,1,0.0
271,1326.71,0.4683,4200.0,24,0.1563,0.18635,0.0425,1,1.0
272,2359.18,0.6467,11100.0,24,0.2039,0.18635,0.0425,0,
273,1875.48,0.1476,6900.0,24,0.12,0.18635,0.0425,0,
274,6318.62,0.0457,23300.0,36,0.12,0.18635,0.0425,1,0.0
275,4736.31,0.2964,9900.0,60,0.12,0.18635,0.0425,1,0.0
276,2451.67,0.3928,5700.0,24,0.1662,0.18635,0.0425,0,
277,1296.52,0.4991,2700.0,36,0.1454,0.18635,0.0425,1,1.0
278,1068.19,0.8773,5100.0,48,0.2413,0.18635,0.0425,1,0.0
279,3831.73,0.1831,22800.0,24,0.12,0.18635,0.0425,0,
280,2289.9,0.3603,11200.0,12,0.1563,0.18635,0.0425,1,0.0
281,2583.28,0.6426,15800.0,24,0.1778,0.18635,0.0425,1,0.0
282,930.0,0.8736,2100.0,36,0.2625,0.18635,0.0425,1,0.0
283,3310.47,0.4956,15000.0,18,0.1807,0.18635,0.0425,0,
284,2546.69,0.2054,8500.0,36,0.1266,0.18635,0.0425,0,
285,1069.36,0.9067,4400.0,12,0.2514,0.18635,0.0425,0,
286,1524.01,0.579,2300.0,36,0.1971,0.18635,0.0425,1,1.0
287,2291.13,0.7561,4600.0,36,0.2356,0.18635,0.0425,0,
288,2037.87,0.7548,9500.0,36,0.273,0.18635,0.0425,1,0.0
289,1683.37,0.8292,4600.0,12,0.2039,0.18635,0.0425,0,
290,1869.04,0.6142,5300.0,60,0.2035,0.18635,0.0425,1,0.0
291,1721.31,0.5425,6700.0,36,0.1955,0.18635,0.0425,1,1.0
292,2154.18,0.3794,12900.0,36,0.1543,0.18635,0.0425,1,0.0
293,4476.2,0.5215,32900.0,48,0.197,0.18635,0.0425,1,0.0
294,930.0,0.862,2000.0,12,0.2641,0.18635,0.0425,0,
295,1735.81,0.7472,5600.0,18,0.2291,0.18635,0.0425,1,0.0
296,2182.98,0.3341,11000.0,18,0.1373,0.18635,0.0425,1,0.0
297,2332.51,0.4927,13600.0,18,0.1299,0.18635,0.0425,0,
298,1610.56,0.6396,11200.0,12,0.2439,0.18635,0.0425,1,0.0
299,930.0,0.9174,5100.0,60,0.2099,0.18635,0.0425,0,
300,2374.27,0.1131,6900.0,24,0.12,0.18635,0.0425,1,0.0
301,5158.52,0.3307,25600.0,18,0.1466,0.18635,0.0425,0,
302,930.0,0.8872,4300.0,36,0.2245,0.18635,0.0425,1,0.0
303,3195.73,0.2544,6200.0,24,0.1697,0.18635,0.0425,1,0.0
304,1649.78,0.6666,4500.0,18,0.2251,0.18635,0.0425,1,0.0
305,1913.26,0.7088,10100.0,60,0.2216,0.18635,0.0425,0,
306,1104.03,0.9573,7700.0,48,0.2392,0.18635,0.0425,0,
307,1644.36,0.7577,5100.0,36,0.2561,0.18635,0.0425,0,
308,4070.25,0.3719,49800.0,24,0.1804,0.18635,0.0425,0,
309,2734.37,0.0899,2000.0,18,0.12,0.18635,0.0425,1,0.0
310,5172.74,0.0139,22600.0,24,0.12,0.18635,0.0425,0,
311,3802.67,0.2162,17800.0,24,0.1215,0.18635,0.0425,1,0.0
312,2525.13,0.7189,19600.0,36,0.2255,0.18635,0.0425,1,0.0
313,5206.18,0.0603,14900.0,24,0.12,0.18635,0.0425,1,0.0
314,2525.0,0.6261,8000.0,36,0.2141,0.18635,0.0425,0,
315,3132.85,0.407,10100.0,36,0.1663,0.18635,0.0425,1,0.0
316,1679.27,0.7374,12700.0,12,0.2104,0.18635,0.0425,0,
317,2053.84,0.6166,17100.0,18,0.1739,0.18635,0.0425,0,
318,1344.58,0.7742,4800.0,24,0.2241,0.18635,0.0425,0,
319,3426.53,0.5491,8400.0,60,0.1976,0.18635,0.0425,1,0.0
320,1029.86,0.8955,2600.0,60,0.2487,0.18635,0.0425,0,
321,3054.56,0.1311,5300.0,36,0.12,0.18635,0.0425,1,0.0
322,1780.86,0.5774,15800.0,36,0.187,0.18635,0.0425,1,0.0
323,3789.69,0.189,16700.0,36,0.12,0.18635,0.0425,1,0.0
324,3001.7,0.8018,22000.0,24,0.2223,0.18635,0.0425,1,0.0
325,5432.42,0.0454,20500.0,24,0.12,0.18635,0.0425,1,0.0
326,2968.44,0.4688,39400.0,36,0.1691,0.18635,0.0425,1,0.0
327,930.0,0.6316,6200.0,48,0.2149,0.18635,0.0425,1,0.0
328,1907.29,0.4945,10200.0,24,0.1724,0.18635,0.0425,0,
329,1033.47,0.8808,6200.0,18,0.257,0.18635,0.0425,0,
330,1485.01,0.9124,3500.0,18,0.2585,0.18635,0.0425,1,0.0
331,4575.92,0.0197,14900.0,24,0.12,0.18635,0.0425,1,0.0
332,2818.86,0.1819,20500.0,36,0.1211,0.18635,0.0425,1,0.0
333,1343.46,0.504,6000.0,60,0.186,0.18635,0.0425,1,0.0
334,1128.28,0.3618,7000.0,18,0.1681,0.18635,0.0425,1,0.0
335,2015.75,0.4478,7500.0,12,0.1299,0.18635,0.0425,0,
336,1008.25,0.5346,4200.0,24,0.1951,0.18635,0.0425,1,0.0
337,1364.32,0.79,11600.0,36,0.2261,0.18635,0.0425,0,
338,2353.32,0.2586,11600.0,60,0.12,0.18635,0.0425,0,
339,3756.35,0.3357,19100.0,36,0.12,0.18635,0.0425,1,0.0
340,2774.24,0.4595,11800.0,48,0.1327,0.18635,0.0425,1,0.0
341,930.0,0.8272,3200.0,36,0.2279,0.18635,0.0425,0,
342,2343.36,0.7233,9000.0,60,0.2005,0.18635,0.0425,1,0.0
343,2060.1,0.4106,9300.0,36,0.1745,0.18635,0.0425,1,0.0
344,2490.09,0.469,21700.0,36,0.181,0.18635,0.0425,1,0.0
345,4850.21,0.5326,22100.0,60,0.2091,0.18635,0.0425,0,
346,930.0,0.8929,7300.0,36,0.248,0.18635,0.0425,1,0.0
347,1426.23,0.7497,3600.0,18,0.2355,0.18635,0.0425,0,
348,2746.91,0.1827,15900.0,60,0.12,0.18635,0.0425,1,0.0
349,930.0,0.7987,2000.0,36,0.2801,0.18635,0.0425,1,0.0
350,4487.27,0.0415,12500.0,48,0.12,0.18635,0.0425,1,0.0
351,2428.01,0.2886,6900.0,24,0.12,0.18635,0.0425,0,
352,3165.32,0.4029,10400.0,60,0.1851,0.18635,0.0425,0,
353,1442.27,0.687,11200.0,48,0.1869,0.18635,0.0425,1,0.0
354,3108.23,0.3634,3900.0,36,0.1317,0.18635,0.0425,1,0.0
355,3579.75,0.1548,29900.0,48,0.12,0.18635,0.0425,1,0.0
356,2252.29,0.43,2600.0,48,0.141,0.18635,0.0425,1,0.0
357,2254.19,0.5998,8100.0,48,0.2046,0.18635,0.0425,0,
358,2299.57,0.4317,8500.0,36,0.1816,0.18635,0.0425,1,0.0
359,1226.39,0.6485,12100.0,36,0.1738,0.18635,0.0425,1,0.0
360,1823.95,0.7745,11800.0,60,0.2298,0.18635,0.0425,1,0.0
361,1818.91,0.4791,21400.0,36,0.1485,0.18635,0.0425,1,0.0
